"Name of State / UT","Active Cases - Total","Active Cases - Change Since Yesterday","Cured/Discharged/Migrated - Cumulative","Cured/Discharged/Migrated - Change Since Yesterday","Deaths - Cumulative","Deaths - Change Since Yesterday","Report Date","Load Date"
"Andaman and Nicobar Islands","74","33","7596","3","129","",2022-01-05,2022-01-06
"Andhra Pradesh","1516","238","2061927","95","14499","1",2022-01-05,2022-01-06
"Arunachal Pradesh","45","22","55048","1","282","",2022-01-05,2022-01-06
"Assam","2935","318","612792","154","6170","3",2022-01-05,2022-01-06
"Bihar","2223","837","714447","56","12096","",2022-01-05,2022-01-06
"Chandigarh","500","117","64685","11","1079","",2022-01-05,2022-01-06
"Chhattisgarh","2977","1035","993932","21","13604","3",2022-01-05,2022-01-06
"Dadra and Nagar Haveli and Daman and Diu","10","1","10687","","4","",2022-01-05,2022-01-06
"Delhi","14889","3903","1423699","1575","25113","3",2022-01-05,2022-01-06
"Goa","2763","523","176505","67","3525","2",2022-01-05,2022-01-06
"Gujarat","7881","2023","819287","240","10125","2",2022-01-05,2022-01-06
"Haryana","4059","929","762717","201","10066","2",2022-01-05,2022-01-06
"Himachal Pradesh","859","238","224675","22","3879","",2022-01-05,2022-01-06
"Jammu and Kashmir","1541","43","335930","156","4530","",2022-01-05,2022-01-06
"Jharkhand","7681","2463","345135","216","5149","2",2022-01-05,2022-01-06
"Karnataka","13561","2187","2961410","288","38355","4",2022-01-05,2022-01-06
"Kerala***","20877","824","5189100","2363","48637","453",2022-01-05,2022-01-06
"Ladakh","265","16","21836","16","220","",2022-01-05,2022-01-06
"Lakshadweep","3","","10365","","51","",2022-01-05,2022-01-06
"Madhya Pradesh","1029","256","783206","51","10534","1",2022-01-05,2022-01-06
"Maharashtra","70005","13888","6518916","4558","141573","20",2022-01-05,2022-01-06
"Manipur","257","28","123615","5","2006","2",2022-01-05,2022-01-06
"Meghalaya","97","24","83299","7","1485","1",2022-01-05,2022-01-06
"Mizoram","2162","328","139976","112","553","3",2022-01-05,2022-01-06
"Nagaland","62","2","31446","2","702","",2022-01-05,2022-01-06
"Odisha","2820","558","1045376","121","8464","1",2022-01-05,2022-01-06
"Puducherry","214","59","127524","7","1881","",2022-01-05,2022-01-06
"Punjab","2686","945","587588","58","16653","2",2022-01-05,2022-01-06
"Rajasthan","3183","1099","946422","37","8965","1",2022-01-05,2022-01-06
"Sikkim","57","6","32064","4","409","",2022-01-05,2022-01-06
"Tamil Nadu","12412","2048","2706370","674","36805","9",2022-01-05,2022-01-06
"Telangana","4858","810","675132","240","4033","2",2022-01-05,2022-01-06
"Tripura","201","41","84184","5","829","",2022-01-05,2022-01-06
"Uttarakhand","654","131","337889","178","7420","1",2022-01-05,2022-01-06
"Uttar Pradesh","3173","912","1688007","77","22916","",2022-01-05,2022-01-06
"West Bengal","25475","5289","1619016","3768","19810","16",2022-01-05,2022-01-06
"Andaman and Nicobar Islands","91","17","7604","8","129","",2022-01-06,2022-01-06
"Andhra Pradesh","1848","332","2062029","102","14499","",2022-01-06,2022-01-06
"Arunachal Pradesh","75","30","55050","2","282","",2022-01-06,2022-01-06
"Assam","3326","391","612988","196","6174","4",2022-01-06,2022-01-06
"Bihar","3698","1475","714631","184","12096","",2022-01-06,2022-01-06
"Chandigarh","665","165","64748","63","1080","1",2022-01-06,2022-01-06
"Chhattisgarh","4562","1585","993961","29","13605","1",2022-01-06,2022-01-06
"Dadra and Nagar Haveli and Daman and Diu","14","4","10687","","4","",2022-01-06,2022-01-06
"Delhi","23307","8418","1425938","2239","25121","8",2022-01-06,2022-01-06
"Goa","3718","955","176551","46","3526","1",2022-01-06,2022-01-06
"Gujarat","10994","3113","819523","236","10126","1",2022-01-06,2022-01-06
"Haryana","6059","2000","762893","176","10066","",2022-01-06,2022-01-06
"Himachal Pradesh","1216","357","224691","16","3880","1",2022-01-06,2022-01-06
"Jammu and Kashmir","1819","278","336070","140","4530","",2022-01-06,2022-01-06
"Jharkhand","10990","3309","345379","244","5149","",2022-01-06,2022-01-06
"Karnataka","17443","3882","2961772","362","38357","2",2022-01-06,2022-01-06
"Kerala***","23607","2730","5190913","1813","48895","258",2022-01-06,2022-01-06
"Ladakh","257","8","21871","35","221","1",2022-01-06,2022-01-06
"Lakshadweep","3","","10365","","51","",2022-01-06,2022-01-06
"Madhya Pradesh","1544","515","783284","78","10535","1",2022-01-06,2022-01-06
"Maharashtra","91204","21199","6524247","5331","141581","8",2022-01-06,2022-01-06
"Manipur","268","11","123629","14","2008","2",2022-01-06,2022-01-06
"Meghalaya","145","48","83301","2","1485","",2022-01-06,2022-01-06
"Mizoram","2572","410","140067","91","554","1",2022-01-06,2022-01-06
"Nagaland","64","2","31450","4","702","",2022-01-06,2022-01-06
"Odisha","3896","1076","1045514","138","8466","2",2022-01-06,2022-01-06
"Puducherry","278","64","127533","9","1881","",2022-01-06,2022-01-06
"Punjab","4434","1748","587632","44","16657","4",2022-01-06,2022-01-06
"Rajasthan","5016","1833","946470","48","8967","2",2022-01-06,2022-01-06
"Sikkim","65","8","32069","5","409","",2022-01-06,2022-01-06
"Tamil Nadu","16577","4165","2707058","688","36814","9",2022-01-06,2022-01-06
"Telangana","6168","1310","675341","209","4034","1",2022-01-06,2022-01-06
"Tripura","278","77","84190","6","829","",2022-01-06,2022-01-06
"Uttarakhand","1000","346","338048","159","7420","",2022-01-06,2022-01-06
"Uttar Pradesh","5158","1985","1688058","51","22916","",2022-01-06,2022-01-06
"West Bengal","33042","7567","1625454","6438","19827","17",2022-01-06,2022-01-06
